Coverage Type,State,Rated Flood Zones, Policies in Force , Premium + FPF ,Total Annual Payment, Building Coverage , Contents Coverage , Total Coverage 
 Building & Contents , SOUTH CAROLINA , Unknown or Invalid ," 1,535 "," $1,088,426 "," $1,395,159 "," $377,321,000 "," $149,646,000 "," $526,967,000 "
 Building & Contents , SOUTH CAROLINA , X Zone ," 62,781 "," $37,017,883 "," $46,691,853 "," $14,982,650,000 "," $5,488,815,000 "," $20,471,465,000 "
 Building & Contents , SOUTH DAKOTA , All A Zones , 635 ," $804,437 "," $1,003,402 "," $130,996,000 "," $47,342,000 "," $178,338,000 "
 Building & Contents , SOUTH DAKOTA , D Zone , 5 ," $3,604 "," $4,786 "," $1,106,000 "," $379,000 "," $1,485,000 "
 Building & Contents , SOUTH DAKOTA , Unknown or Invalid , 36 ," $28,312 "," $36,476 "," $7,264,000 "," $2,716,000 "," $9,980,000 "
 Building & Contents , SOUTH DAKOTA , X Zone , 818 ," $862,502 "," $1,073,806 "," $195,413,000 "," $85,825,000 "," $281,238,000 "
 Building & Contents , TENNESSEE , All A Zones ," 6,311 "," $8,851,499 "," $10,925,801 "," $1,446,972,000 "," $503,647,000 "," $1,950,619,000 "
 Building & Contents , TENNESSEE , Unknown or Invalid , 13 ," $12,682 "," $15,629 "," $2,581,000 "," $1,033,000 "," $3,614,000 "
 Building & Contents , TENNESSEE , X Zone ," 8,615 "," $6,813,240 "," $8,523,469 "," $2,040,164,000 "," $826,573,000 "," $2,866,737,000 "
 Building & Contents , TEXAS , All A Zones ," 135,881 "," $157,900,584 "," $194,380,509 "," $30,396,507,000 "," $10,425,471,000 "," $40,821,978,000 "
 Building & Contents , TEXAS , All V Zones ," 8,664 "," $13,693,277 "," $17,274,742 "," $1,956,551,000 "," $461,657,000 "," $2,418,208,000 "
 Building & Contents , TEXAS , D Zone , 5 ," $7,176 "," $8,776 "," $1,331,000 "," $432,000 "," $1,763,000 "
 Building & Contents , TEXAS , Emergency Program , 101 ," $39,694 "," $57,284 "," $3,576,000 "," $988,000 "," $4,564,000 "
 Building & Contents , TEXAS , Unknown or Invalid ," 20,298 "," $15,172,519 "," $18,836,188 "," $4,576,589,000 "," $1,804,136,000 "," $6,380,725,000 "
 Building & Contents , TEXAS , X Zone ," 381,626 "," $288,100,641 "," $354,466,690 "," $90,577,107,000 "," $35,745,609,000 "," $126,322,716,000 "
 Building & Contents , UTAH , All A Zones , 906 ," $769,751 "," $974,079 "," $229,033,000 "," $89,103,000 "," $318,136,000 "
 Building & Contents , UTAH , All V Zones , 1 , $663 ," $1,024 "," $250,000 "," $100,000 "," $350,000 "
 Building & Contents , UTAH , D Zone , 8 ," $3,563 "," $4,561 "," $1,656,000 "," $640,000 "," $2,296,000 "
 Building & Contents , UTAH , Emergency Program , 6 ," $2,127 "," $2,835 "," $260,000 "," $131,000 "," $391,000 "
 Building & Contents , UTAH , Unknown or Invalid , 136 ," $86,455 "," $113,268 "," $31,105,000 "," $12,335,000 "," $43,440,000 "
 Building & Contents , UTAH , X Zone ," 2,231 "," $1,306,935 "," $1,664,036 "," $528,936,000 "," $205,149,000 "," $734,085,000 "
 Building & Contents , VERMONT , All A Zones , 801 ," $1,985,022 "," $2,442,420 "," $189,133,000 "," $77,064,000 "," $266,197,000 "
 Building & Contents , VERMONT , Emergency Program , 3 ," $5,561 "," $6,837 "," $170,000 "," $115,000 "," $285,000 "
 Building & Contents , VERMONT , Unknown or Invalid , 140 ," $120,273 "," $154,354 "," $32,385,000 "," $12,585,000 "," $44,970,000 "
 Building & Contents , VERMONT , X Zone , 996 ," $964,247 "," $1,242,889 "," $236,202,000 "," $95,728,000 "," $331,930,000 "
 Building & Contents , VIRGINIA , All A Zones ," 28,738 "," $27,289,314 "," $33,937,676 "," $6,703,578,000 "," $1,939,620,000 "," $8,643,198,000 "
 Building & Contents , VIRGINIA , All V Zones , 803 ," $551,411 "," $716,611 "," $198,921,000 "," $41,517,000 "," $240,438,000 "
 Building & Contents , VIRGINIA , D Zone , 1 , $352 , $432 ," $250,000 "," $100,000 "," $350,000 "
 Building & Contents , VIRGINIA , Unknown or Invalid , 53 ," $51,578 "," $63,765 "," $11,336,000 "," $4,274,000 "," $15,610,000 "
 Building & Contents , VIRGINIA , X Zone ," 35,168 "," $19,786,372 "," $25,031,974 "," $8,290,648,000 "," $3,162,521,000 "," $11,453,169,000 "
 Building & Contents , VIRGIN ISLANDS , All A Zones , 219 ," $86,277 "," $122,531 "," $46,097,000 "," $14,233,000 "," $60,330,000 "
 Building & Contents , VIRGIN ISLANDS , All V Zones , 109 ," $13,387 "," $19,930 "," $18,554,000 "," $2,713,000 "," $21,267,000 "
 Building & Contents , VIRGIN ISLANDS , Unknown or Invalid , 1 , $247 , $308 ," $121,000 "," $45,000 "," $166,000 "
 Building & Contents , VIRGIN ISLANDS , X Zone , 196 ," $81,193 "," $125,829 "," $54,208,000 "," $14,383,000 "," $68,591,000 "
 Building & Contents , WASHINGTON , All A Zones ," 8,576 "," $9,867,282 "," $12,315,145 "," $2,098,856,000 "," $705,186,000 "," $2,804,042,000 "
 Building & Contents , WASHINGTON , All V Zones , 604 ," $409,270 "," $526,949 "," $150,528,000 "," $41,862,000 "," $192,390,000 "
 Building & Contents , WASHINGTON , D Zone , 10 ," $20,435 "," $25,179 "," $2,285,000 "," $742,000 "," $3,027,000 "
 Building & Contents , WASHINGTON , Emergency Program , 1 , $835 ," $1,002 "," $35,000 "," $10,000 "," $45,000 "
 Building & Contents , WASHINGTON , Unknown or Invalid , 761 ," $625,912 "," $795,703 "," $182,343,000 "," $71,846,000 "," $254,189,000 "
 Building & Contents , WASHINGTON , X Zone ," 7,182 "," $5,620,946 "," $7,124,108 "," $1,751,555,000 "," $678,326,000 "," $2,429,881,000 "
 Building & Contents , WEST VIRGINIA , All A Zones ," 2,507 "," $5,321,464 "," $6,505,091 "," $412,738,000 "," $162,159,000 "," $574,897,000 "
 Building & Contents , WEST VIRGINIA , Unknown or Invalid , 26 ," $25,404 "," $31,533 "," $3,574,000 "," $1,365,000 "," $4,939,000 "
 Building & Contents , WEST VIRGINIA , X Zone ," 1,729 "," $2,042,960 "," $2,557,424 "," $351,395,000 "," $161,771,000 "," $513,166,000 "
 Building & Contents , WISCONSIN , All A Zones ," 2,135 "," $2,611,663 "," $3,281,780 "," $447,939,000 "," $159,088,000 "," $607,027,000 "
 Building & Contents , WISCONSIN , All V Zones , 3 ," $2,146 "," $3,032 "," $588,000 "," $217,000 "," $805,000 "
 Building & Contents , WISCONSIN , D Zone , 1 , $341 , $419 ," $200,000 "," $69,000 "," $269,000 "
 Building & Contents , WISCONSIN , Unknown or Invalid , 32 ," $23,843 "," $30,687 "," $7,143,000 "," $3,205,000 "," $10,348,000 "
 Building & Contents , WISCONSIN , X Zone ," 3,801 "," $2,685,321 "," $3,434,810 "," $832,535,000 "," $319,738,000 "," $1,152,273,000 "
 Building & Contents , WYOMING , All A Zones , 324 ," $409,849 "," $512,838 "," $77,081,000 "," $29,551,000 "," $106,632,000 "
 Building & Contents , WYOMING , D Zone , 7 ," $12,360 "," $15,151 "," $2,250,000 "," $1,500,000 "," $3,750,000 "
 Building & Contents , WYOMING , Unknown or Invalid , 22 ," $18,935 "," $23,831 "," $4,717,000 "," $1,874,000 "," $6,591,000 "
 Building & Contents , WYOMING , X Zone , 669 ," $501,105 "," $654,932 "," $160,439,000 "," $59,294,000 "," $219,733,000 "
 Building Only , ALABAMA , All A Zones ," 13,790 "," $9,966,977 "," $12,627,957 "," $2,732,092,800 ", $-   ," $2,732,092,800 "
 Building Only , ALABAMA , All V Zones ," 2,795 "," $965,180 "," $1,207,318 "," $622,472,000 ", $-   ," $622,472,000 "
 Building Only , ALABAMA , X Zone ," 2,153 "," $1,040,553 "," $1,336,759 "," $459,302,000 ", $-   ," $459,302,000 "
 Building Only , ALASKA , All A Zones , 731 ," $330,003 "," $460,345 "," $176,924,400 ", $-   ," $176,924,400 "
 Building Only , ALASKA , All V Zones , 49 ," $39,388 "," $48,757 "," $12,532,000 ", $-   ," $12,532,000 "
 Building Only , ALASKA , D Zone , 5 ," $1,267 "," $2,028 "," $536,000 ", $-   ," $536,000 "
 Building Only , ALASKA , Unknown or Invalid , 4 ," $4,920 "," $5,649 "," $837,200 ", $-   ," $837,200 "
 Building Only , ALASKA , X Zone , 87 ," $31,404 "," $46,723 "," $21,830,000 ", $-   ," $21,830,000 "
 Building Only , ARIZONA , All A Zones ," 9,884 "," $6,843,464 "," $8,845,485 "," $2,137,523,000 ", $-   ," $2,137,523,000 "
 Building Only , ARIZONA , D Zone , 24 ," $33,548 "," $44,036 "," $8,112,000 ", $-   ," $8,112,000 "
 Building Only , ARIZONA , Unknown or Invalid , 5 ," $2,275 "," $3,892 "," $1,700,000 ", $-   ," $1,700,000 "
 Building Only , ARIZONA , X Zone , 935 ," $577,786 "," $769,763 "," $182,542,000 ", $-   ," $182,542,000 "
 Building Only , ARKANSAS , All A Zones ," 5,796 "," $4,984,611 "," $6,556,608 "," $939,027,200 ", $-   ," $939,027,200 "
 Building Only , ARKANSAS , Emergency Program , 2 , $895 ," $1,314 "," $56,000 ", $-   ," $56,000 "
 Building Only , ARKANSAS , Unknown or Invalid , 10 ," $5,640 "," $8,619 "," $1,160,000 ", $-   ," $1,160,000 "
 Building Only , ARKANSAS , X Zone , 474 ," $329,244 "," $465,432 "," $76,341,000 ", $-   ," $76,341,000 "
 Building Only , CALIFORNIA , All A Zones ," 60,991 "," $60,130,419 "," $76,222,374 "," $14,455,016,400 ", $-   ," $14,455,016,400 "
 Building Only , CALIFORNIA , All V Zones ," 1,228 "," $1,086,799 "," $1,343,050 "," $296,234,000 ", $-   ," $296,234,000 "
 Building Only , CALIFORNIA , D Zone , 171 ," $187,811 "," $244,000 "," $44,455,000 ", $-   ," $44,455,000 "
 Building Only , CALIFORNIA , Emergency Program , 1 , $250 , $312 ," $1,000 ", $-   ," $1,000 "
 Building Only , CALIFORNIA , Unknown or Invalid , 36 ," $35,579 "," $47,533 "," $10,865,400 ", $-   ," $10,865,400 "
 Building Only , CALIFORNIA , X Zone ," 5,334 "," $3,866,226 "," $5,138,554 "," $1,321,136,000 ", $-   ," $1,321,136,000 "
 Building Only , COLORADO , All A Zones ," 5,008 "," $4,375,363 "," $5,565,801 "," $1,127,655,000 ", $-   ," $1,127,655,000 "
 Building Only , COLORADO , D Zone , 12 ," $20,322 "," $25,455 "," $2,820,000 ", $-   ," $2,820,000 "
 Building Only , COLORADO , Emergency Program , 1 , $294 , $588 ," $35,000 ", $-   ," $35,000 "
 Building Only , COLORADO , Unknown or Invalid , 3 ," $2,546 "," $3,504 "," $264,000 ", $-   ," $264,000 "
 Building Only , COLORADO , X Zone ," 1,052 "," $643,580 "," $834,312 "," $221,965,000 ", $-   ," $221,965,000 "
 Building Only , CONNECTICUT , All A Zones ," 14,303 "," $17,400,607 "," $21,292,731 "," $3,176,246,000 ", $-   ," $3,176,246,000 "
 Building Only , CONNECTICUT , All V Zones ," 1,140 "," $2,193,679 "," $2,685,262 "," $268,598,000 ", $-   ," $268,598,000 "
 Building Only , CONNECTICUT , Unknown or Invalid , 16 ," $28,005 "," $35,335 "," $3,568,000 ", $-   ," $3,568,000 "
 Building Only , CONNECTICUT , X Zone ," 1,677 "," $1,100,523 "," $1,374,582 "," $360,836,000 ", $-   ," $360,836,000 "
 Building Only , DELAWARE , All A Zones ," 7,606 "," $5,307,794 "," $6,898,910 "," $1,766,531,000 ", $-   ," $1,766,531,000 "
 Building Only , DELAWARE , All V Zones ," 1,217 "," $350,897 "," $452,858 "," $289,409,000 ", $-   ," $289,409,000 "
 Building Only , DELAWARE , Unknown or Invalid , 1 , $294 , $588 ," $250,000 ", $-   ," $250,000 "
 Building Only , DELAWARE , X Zone ," 1,318 "," $461,393 "," $605,867 "," $304,832,000 ", $-   ," $304,832,000 "
 Building Only , DISTRICT OF COLUMBIA , All A Zones , 147 ," $147,408 "," $192,595 "," $40,803,000 ", $-   ," $40,803,000 "
 Building Only , DISTRICT OF COLUMBIA , X Zone , 235 ," $182,582 "," $233,204 "," $35,861,000 ", $-   ," $35,861,000 "
 Building Only , FLORIDA , All A Zones ," 460,674 "," $403,745,486 "," $495,160,216 "," $97,238,967,200 ", $-   ," $97,238,967,200 "
 Building Only , FLORIDA , All V Zones ," 27,682 "," $22,333,506 "," $27,030,820 "," $6,258,522,200 ", $-   ," $6,258,522,200 "
 Building Only , FLORIDA , D Zone , 6 ," $4,565 "," $5,936 "," $990,000 ", $-   ," $990,000 "
 Building Only , FLORIDA , Unknown or Invalid ," 1,298 "," $250,116 "," $310,855 "," $291,283,800 ", $-   ," $291,283,800 "
 Building Only , FLORIDA , X Zone ," 97,475 "," $41,255,440 "," $52,695,765 "," $20,827,858,000 ", $-   ," $20,827,858,000 "
 Building Only , GEORGIA , All A Zones ," 15,880 "," $12,116,829 "," $15,534,601 "," $3,273,565,800 ", $-   ," $3,273,565,800 "
 Building Only , GEORGIA , All V Zones , 164 ," $118,020 "," $146,566 "," $41,374,000 ", $-   ," $41,374,000 "
 Building Only , GEORGIA , D Zone , 1 ," $1,162 "," $1,613 "," $150,000 ", $-   ," $150,000 "
 Building Only , GEORGIA , Unknown or Invalid , 11 ," $6,461 "," $9,380 "," $2,226,000 ", $-   ," $2,226,000 "
 Building Only , GEORGIA , X Zone ," 4,368 "," $1,701,064 "," $2,309,818 "," $828,534,000 ", $-   ," $828,534,000 "
 Building Only , GUAM , All A Zones , 87 ," $140,577 "," $172,057 "," $17,119,400 ", $-   ," $17,119,400 "
 Building Only , GUAM , All V Zones , 32 ," $71,665 "," $88,466 "," $6,050,000 ", $-   ," $6,050,000 "
 Building Only , GUAM , X Zone , 4 ," $5,631 "," $7,161 "," $820,000 ", $-   ," $820,000 "
 Building Only , HAWAII , All A Zones ," 13,731 "," $11,949,643 "," $14,562,726 "," $3,363,615,000 ", $-   ," $3,363,615,000 "
 Building Only , HAWAII , All V Zones ," 3,004 "," $4,109,581 "," $4,940,652 "," $664,004,000 ", $-   ," $664,004,000 "
 Building Only , HAWAII , D Zone , 140 ," $517,495 "," $632,089 "," $40,929,000 ", $-   ," $40,929,000 "
 Building Only , HAWAII , Unknown or Invalid , 1 , $528 , $640 ," $250,000 ", $-   ," $250,000 "
 Building Only , HAWAII , X Zone ," 5,328 "," $2,860,326 "," $3,462,463 "," $1,197,708,000 ", $-   ," $1,197,708,000 "
 Building Only , IDAHO , All A Zones ," 1,847 "," $1,574,771 "," $2,023,143 "," $390,003,000 ", $-   ," $390,003,000 "
 Building Only , IDAHO , D Zone , 2 ," $2,051 "," $2,453 "," $500,000 ", $-   ," $500,000 "
 Building Only , IDAHO , Unknown or Invalid , 3 ," $1,996 "," $2,630 "," $665,000 ", $-   ," $665,000 "
 Building Only , IDAHO , X Zone , 127 ," $96,719 "," $123,282 "," $29,958,000 ", $-   ," $29,958,000 "
 Building Only , ILLINOIS , All A Zones ," 14,671 "," $14,432,900 "," $17,591,481 "," $2,317,036,800 ", $-   ," $2,317,036,800 "
 Building Only , ILLINOIS , All V Zones , 137 ," $59,453 "," $72,183 "," $32,874,000 ", $-   ," $32,874,000 "
 Building Only , ILLINOIS , Emergency Program , 3 ," $1,651 "," $2,448 "," $118,000 ", $-   ," $118,000 "
 Building Only , ILLINOIS , Unknown or Invalid , 33 ," $33,425 "," $42,666 "," $6,368,200 ", $-   ," $6,368,200 "
 Building Only , ILLINOIS , X Zone ," 1,202 "," $835,266 "," $1,066,233 "," $225,185,000 ", $-   ," $225,185,000 "
 Building Only , INDIANA , All A Zones ," 7,145 "," $6,357,245 "," $8,012,041 "," $1,128,579,000 ", $-   ," $1,128,579,000 "
 Building Only , INDIANA , All V Zones , 3 ," $1,816 "," $2,643 "," $1,250,000 ", $-   ," $1,250,000 "
 Building Only , INDIANA , Emergency Program , 6 ," $3,240 "," $4,372 "," $259,000 ", $-   ," $259,000 "
 Building Only , INDIANA , Unknown or Invalid , 4 ," $2,887 "," $3,922 "," $611,000 ", $-   ," $611,000 "
 Building Only , INDIANA , X Zone , 556 ," $357,570 "," $473,469 "," $128,974,000 ", $-   ," $128,974,000 "
 Building Only , IOWA , All A Zones ," 3,800 "," $4,474,104 "," $5,498,838 "," $576,345,400 ", $-   ," $576,345,400 "
 Building Only , IOWA , Unknown or Invalid , 6 ," $4,987 "," $6,433 "," $885,000 ", $-   ," $885,000 "
 Building Only , IOWA , X Zone , 491 ," $427,583 "," $571,700 "," $89,999,000 ", $-   ," $89,999,000 "
 Building Only , KANSAS , All A Zones ," 2,739 "," $2,421,469 "," $3,123,273 "," $375,179,000 ", $-   ," $375,179,000 "
 Building Only , KANSAS , Emergency Program , 9 ," $4,016 "," $6,463 "," $257,000 ", $-   ," $257,000 "
 Building Only , KANSAS , Unknown or Invalid , 9 ," $7,703 "," $10,588 "," $1,394,000 ", $-   ," $1,394,000 "
 Building Only , KANSAS , X Zone , 239 ," $176,912 "," $243,407 "," $43,423,000 ", $-   ," $43,423,000 "
 Building Only , KENTUCKY , All A Zones ," 9,767 "," $12,231,901 "," $14,857,650 "," $1,428,733,800 ", $-   ," $1,428,733,800 "
 Building Only , KENTUCKY , Unknown or Invalid , 8 ," $11,192 "," $13,566 "," $974,400 ", $-   ," $974,400 "
 Building Only , KENTUCKY , X Zone , 405 ," $429,515 "," $562,721 "," $73,332,000 ", $-   ," $73,332,000 "
 Building Only , LOUISIANA , All A Zones ," 69,733 "," $62,091,214 "," $80,474,568 "," $12,627,252,200 ", $-   ," $12,627,252,200 "
 Building Only , LOUISIANA , All V Zones ," 1,024 "," $1,877,187 "," $2,328,081 "," $186,981,200 ", $-   ," $186,981,200 "
 Building Only , LOUISIANA , D Zone , 3 ," $7,047 "," $8,815 "," $707,000 ", $-   ," $707,000 "
 Building Only , LOUISIANA , Unknown or Invalid , 918 ," $630,262 "," $858,955 "," $173,608,000 ", $-   ," $173,608,000 "
 Building Only , LOUISIANA , X Zone ," 14,682 "," $8,345,429 "," $11,879,609 "," $2,901,539,000 ", $-   ," $2,901,539,000 "
 Building Only , MAINE , All A Zones ," 2,522 "," $3,386,817 "," $4,247,080 "," $498,052,800 ", $-   ," $498,052,800 "
 Building Only , MAINE , All V Zones , 376 ," $514,470 "," $652,463 "," $84,146,200 ", $-   ," $84,146,200 "
 Building Only , MAINE , Unknown or Invalid , 155 ," $163,567 "," $205,572 "," $36,653,000 ", $-   ," $36,653,000 "
 Building Only , MAINE , X Zone , 278 ," $279,547 "," $357,664 "," $56,828,000 ", $-   ," $56,828,000 "
 Building Only , MARYLAND , All A Zones ," 14,702 "," $7,160,763 "," $9,227,530 "," $3,065,368,000 ", $-   ," $3,065,368,000 "
 Building Only , MARYLAND , All V Zones , 514 ," $132,134 "," $169,409 "," $113,875,000 ", $-   ," $113,875,000 "
 Building Only , MARYLAND , Unknown or Invalid , 4 ," $1,476 "," $2,484 "," $461,000 ", $-   ," $461,000 "
 Building Only , MARYLAND , X Zone ," 14,939 "," $3,627,927 "," $4,562,534 "," $3,083,693,000 ", $-   ," $3,083,693,000 "
 Building Only , MASSACHUSETTS , All A Zones ," 21,827 "," $22,780,983 "," $28,123,822 "," $5,032,071,800 ", $-   ," $5,032,071,800 "
 Building Only , MASSACHUSETTS , All V Zones ," 2,697 "," $4,019,759 "," $4,996,135 "," $583,426,000 ", $-   ," $583,426,000 "
 Building Only , MASSACHUSETTS , Unknown or Invalid , 128 ," $92,177 "," $116,558 "," $27,073,000 ", $-   ," $27,073,000 "
 Building Only , MASSACHUSETTS , X Zone ," 2,660 "," $1,285,869 "," $1,617,982 "," $558,772,000 ", $-   ," $558,772,000 "
 Building Only , MICHIGAN , All A Zones ," 8,727 "," $6,905,691 "," $8,598,660 "," $1,408,631,800 ", $-   ," $1,408,631,800 "
 Building Only , MICHIGAN , All V Zones , 41 ," $28,535 "," $36,423 "," $7,721,000 ", $-   ," $7,721,000 "
 Building Only , MICHIGAN , Emergency Program , 1 , $266 , $555 ," $35,000 ", $-   ," $35,000 "
 Building Only , MICHIGAN , Unknown or Invalid , 7 ," $8,823 "," $11,428 "," $1,217,000 ", $-   ," $1,217,000 "
 Building Only , MICHIGAN , X Zone , 688 ," $443,778 "," $583,532 "," $122,481,000 ", $-   ," $122,481,000 "
 Building Only , MINNESOTA , All A Zones ," 1,970 "," $2,269,186 "," $2,792,430 "," $355,618,800 ", $-   ," $355,618,800 "
 Building Only , MINNESOTA , D Zone , 2 ," $1,502 "," $2,256 "," $184,000 ", $-   ," $184,000 "
 Building Only , MINNESOTA , Emergency Program , 2 , $979 ," $1,638 "," $65,000 ", $-   ," $65,000 "
 Building Only , MINNESOTA , Unknown or Invalid , 13 ," $10,149 "," $13,765 "," $1,726,000 ", $-   ," $1,726,000 "
 Building Only , MINNESOTA , X Zone , 313 ," $180,378 "," $242,227 "," $43,660,000 ", $-   ," $43,660,000 "
 Building Only , MISSISSIPPI , All A Zones ," 11,065 "," $10,595,530 "," $13,849,276 "," $1,976,215,600 ", $-   ," $1,976,215,600 "
 Building Only , MISSISSIPPI , All V Zones , 761 ," $854,669 "," $1,079,082 "," $196,755,000 ", $-   ," $196,755,000 "
 Building Only , MISSISSIPPI , Unknown or Invalid , 7 ," $8,835 "," $11,891 "," $1,573,000 ", $-   ," $1,573,000 "
 Building Only , MISSISSIPPI , X Zone ," 1,284 "," $968,441 "," $1,315,257 "," $265,088,000 ", $-   ," $265,088,000 "
 Building Only , MISSOURI , All A Zones ," 6,557 "," $7,699,396 "," $9,741,608 "," $1,001,978,600 ", $-   ," $1,001,978,600 "
 Building Only , MISSOURI , D Zone , 7 ," $3,111 "," $5,361 "," $422,000 ", $-   ," $422,000 "
 Building Only , MISSOURI , Unknown or Invalid , 35 ," $22,889 "," $32,316 "," $5,499,000 ", $-   ," $5,499,000 "
 Building Only , MISSOURI , X Zone , 614 ," $606,941 "," $803,911 "," $130,294,000 ", $-   ," $130,294,000 "
 Building Only , MONTANA , All A Zones ," 1,285 "," $1,145,550 "," $1,449,133 "," $216,619,400 ", $-   ," $216,619,400 "
 Building Only , MONTANA , D Zone , 8 ," $3,696 "," $6,069 "," $396,000 ", $-   ," $396,000 "
 Building Only , MONTANA , Unknown or Invalid , 4 ," $3,803 "," $5,003 "," $299,000 ", $-   ," $299,000 "
 Building Only , MONTANA , X Zone , 101 ," $58,406 "," $80,615 "," $16,649,000 ", $-   ," $16,649,000 "
 Building Only , NEBRASKA , All A Zones ," 3,882 "," $3,114,243 "," $4,080,006 "," $673,410,000 ", $-   ," $673,410,000 "
 Building Only , NEBRASKA , Emergency Program , 2 , $673 ," $1,052 "," $53,000 ", $-   ," $53,000 "
 Building Only , NEBRASKA , Unknown or Invalid , 5 ," $2,532 "," $3,521 "," $515,000 ", $-   ," $515,000 "
 Building Only , NEBRASKA , X Zone , 154 ," $123,688 "," $173,478 "," $34,849,000 ", $-   ," $34,849,000 "
 Building Only , NEVADA , All A Zones ," 4,712 "," $3,517,337 "," $4,421,278 "," $1,045,916,000 ", $-   ," $1,045,916,000 "
 Building Only , NEVADA , D Zone , 2 ," $1,746 "," $2,543 "," $164,000 ", $-   ," $164,000 "
 Building Only , NEVADA , X Zone , 148 ," $160,777 "," $213,091 "," $46,605,000 ", $-   ," $46,605,000 "
 Building Only , NEW HAMPSHIRE , All A Zones ," 3,535 "," $3,920,425 "," $4,876,837 "," $740,358,000 ", $-   ," $740,358,000 "
 Building Only , NEW HAMPSHIRE , All V Zones , 50 ," $58,574 "," $74,493 "," $11,504,000 ", $-   ," $11,504,000 "
 Building Only , NEW HAMPSHIRE , Unknown or Invalid , 3 ," $1,586 "," $2,597 "," $225,000 ", $-   ," $225,000 "
 Building Only , NEW HAMPSHIRE , X Zone , 474 ," $322,675 "," $407,905 "," $99,854,000 ", $-   ," $99,854,000 "
 Building Only , NEW JERSEY , All A Zones ," 88,508 "," $83,617,005 "," $105,373,525 "," $20,035,057,000 ", $-   ," $20,035,057,000 "
 Building Only , NEW JERSEY , All V Zones , 979 ," $747,584 "," $972,830 "," $233,051,000 ", $-   ," $233,051,000 "
 Building Only , NEW JERSEY , D Zone , 1 ," $1,398 "," $1,891 "," $250,000 ", $-   ," $250,000 "
 Building Only , NEW JERSEY , Unknown or Invalid , 394 ," $268,461 "," $331,863 "," $95,426,000 ", $-   ," $95,426,000 "
 Building Only , NEW JERSEY , X Zone ," 6,592 "," $3,837,649 "," $4,822,678 "," $1,462,164,000 ", $-   ," $1,462,164,000 "
 Building Only , NEW MEXICO , All A Zones ," 5,298 "," $4,642,183 "," $5,878,565 "," $975,689,600 ", $-   ," $975,689,600 "
 Building Only , NEW MEXICO , D Zone , 6 ," $4,602 "," $6,430 "," $1,268,000 ", $-   ," $1,268,000 "
 Building Only , NEW MEXICO , Emergency Program , 1 , $364 , $671 ," $31,000 ", $-   ," $31,000 "
 Building Only , NEW MEXICO , Unknown or Invalid , 1 ," $3,439 "," $4,300 "," $220,000 ", $-   ," $220,000 "
 Building Only , NEW MEXICO , X Zone , 290 ," $239,226 "," $321,410 "," $55,364,000 ", $-   ," $55,364,000 "
 Building Only , NEW YORK , All A Zones ," 40,508 "," $54,034,487 "," $66,689,500 "," $9,075,893,000 ", $-   ," $9,075,893,000 "
 Building Only , NEW YORK , All V Zones ," 1,386 "," $1,570,895 "," $1,944,887 "," $337,416,000 ", $-   ," $337,416,000 "
 Building Only , NEW YORK , Unknown or Invalid , 218 ," $301,275 "," $387,407 "," $44,185,000 ", $-   ," $44,185,000 "
 Building Only , NEW YORK , X Zone ," 8,523 "," $5,227,531 "," $6,607,642 "," $1,878,983,000 ", $-   ," $1,878,983,000 "
 Building Only , N. MARIANA ISLAND , All V Zones , 1 , $599 , $948 ," $56,000 ", $-   ," $56,000 "
 Building Only , NORTH CAROLINA , All A Zones ," 25,569 "," $20,495,318 "," $26,530,899 "," $5,301,265,800 ", $-   ," $5,301,265,800 "
 Building Only , NORTH CAROLINA , All V Zones ," 5,138 "," $2,724,246 "," $3,512,496 "," $981,475,000 ", $-   ," $981,475,000 "
 Building Only , NORTH CAROLINA , Unknown or Invalid , 3 ," $1,583 "," $2,367 "," $525,000 ", $-   ," $525,000 "
 Building Only , NORTH CAROLINA , X Zone ," 5,110 "," $2,504,183 "," $3,404,367 "," $1,060,398,000 ", $-   ," $1,060,398,000 "
 Building Only , NORTH DAKOTA , All A Zones ," 1,220 "," $1,077,534 "," $1,371,959 "," $223,788,000 ", $-   ," $223,788,000 "
 Building Only , NORTH DAKOTA , D Zone , 3 ," $1,009 "," $1,690 "," $460,000 ", $-   ," $460,000 "
 Building Only , NORTH DAKOTA , Unknown or Invalid , 1 , $915 ," $1,096 "," $250,000 ", $-   ," $250,000 "
 Building Only , NORTH DAKOTA , X Zone , 195 ," $113,702 "," $163,995 "," $26,676,000 ", $-   ," $26,676,000 "
 Building Only , OHIO , All A Zones ," 9,897 "," $10,085,048 "," $12,660,441 "," $1,514,143,000 ", $-   ," $1,514,143,000 "
 Building Only , OHIO , All V Zones , 17 ," $9,944 "," $13,666 "," $3,492,000 ", $-   ," $3,492,000 "
 Building Only , OHIO , D Zone , 1 ," $1,784 "," $2,122 "," $76,000 ", $-   ," $76,000 "
 Building Only , OHIO , Emergency Program , 2 ," $1,207 "," $1,682 "," $95,000 ", $-   ," $95,000 "
 Building Only , OHIO , Unknown or Invalid , 12 ," $18,657 "," $23,564 "," $2,632,000 ", $-   ," $2,632,000 "
 Building Only , OHIO , X Zone , 924 ," $583,741 "," $773,739 "," $160,832,000 ", $-   ," $160,832,000 "
 Building Only , OKLAHOMA , All A Zones ," 3,201 "," $3,218,146 "," $4,122,666 "," $512,370,400 ", $-   ," $512,370,400 "
